key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII-927,Fe II,928.8701547722119,0.048,0.0,0.0,0.0,'s','s',a6D-u6D*,7/2-7/2,E1,927.174,permitted,0.0,10,989,a6D,Sigut+03,' '
FeII-1133,Fe II,1134.2860266022894,0.301,0.0,0.0,0.0,,,a4F-u4D*,7/2-5/2,E1,1133.674,permitted,0.0,6,5590,a4F,Sigut+03,
FeII-1135,Fe II,1136.1884285507451,0.352,0.0,0.0,0.0,,,a4F-u4P*,5/2-3/2,E1,1135.578,permitted,0.0,6,518,a4F,Sigut+03,
FeII-1138,Fe II,1139.5476782287394,0.352,0.0,0.0,0.0,,,a4F-u4D*,5/2-5/2,E1,1138.94,permitted,0.0,6,2430,a4F,Sigut+03,
FeII-1144,Fe II,1144.652666505415,2.582,0.0,0.0,0.0,,,b4P-u6D*,5/2-7/2,E1,1144.049,permitted,0.0,19,2280,b4P,Sigut+03,
FeII-1159,Fe II,1160.0956570291196,2.656,0.0,0.0,0.0,,,a4H-u4G*,11/2-9/2,E1,1159.503,permitted,0.0,8,604,a4H,Sigut+03,
FeII-1170,Fe II,1171.147702489392,2.827,0.0,0.0,0.0,,,b4F-u6D*,7/2-7/2,E1,1170.562,permitted,0.0,17,1150,b4F,Sigut+03,
FeII-1175,Fe II,1176.5395588005997,2.805,0.0,0.0,0.0,,,b4F-u4G*,9/2-9/2,E1,1175.957,permitted,0.0,17,2890,b4F,Sigut+03,
FeII-1199,Fe II,1200.2404271201387,2.675,0.0,0.0,0.0,,,a4H-w4H*,9/2-9/2,E1,1199.67,permitted,0.0,8,569,a4H,Sigut+03,
FeII-1209,Fe II,1209.996133904237,0.986,0.0,0.0,0.0,,,a4D-u4D*,7/2-5/2,E1,1209.43,permitted,0.0,5,4180,a4D,Sigut+03,
FeII-1211,Fe II,1212.5510693138804,1.04,0.0,0.0,0.0,,,a4D-v4P*,5/2-5/2,E1,1211.986,permitted,0.0,5,810,a4D,Sigut+03,
FeII-1213,Fe II,1213.6546168284158,3.198,0.0,0.0,0.0,,,a4G-u6D*,9/2-7/2,E1,1213.09,permitted,0.0,7,928,a4G,Sigut+03,
FeII-1263,Fe II,1264.24989276186,3.198,0.0,0.0,0.0,,,a4G-w4H*,9/2-9/2,E1,1263.702,permitted,0.0,7,834,a4G,Sigut+03,
