ion,wave_vac,key,Ek,Ei,Aki,fik,gigk,terms
O I,1302.168,OI-1302,9.5213638,0.0,341000000.0,0.052,5-3,3P-3S*
C IV,1548.204,CIV-1548,8.008258,0.0,265000000.0,0.19,2-4,2S-2P*
C IV,1550.784,CIV-1551,7.994939,0.0,264000000.0,0.0952,2-2,2S-2P*
C III],1908.734,CIII]-1909,6.495625,0.0,114.0,1.87e-07,1-3,1S-3P*
Mg II,2796.352,MgII-2796,4.433784,0.0,260000000.0,0.608,2-4,2S-2P*
Mg II,2803.531,MgII-2804,4.422431,0.0,257000000.0,0.303,2-2,2S-2P*
Ca II,3934.777,CaII-3935,3.150984,0.0,147000000.0,0.682,2-4,2S-2P*
Ca II,3969.591,CaII-3970,3.123349,0.0,140000000.0,0.33,2-2,2S-2P*
C IV,5802.92,CIV-5803,39.68507,37.54849,31700000.0,0.32,2-4,2S-2P*
C IV,5813.58,CIV-5814,39.68116,37.54849,31600000.0,0.16,2-2,2S-2P*
Na I,5891.583,NaI-5892,2.104429202,0.0,61600000.0,0.641,2-4,2S-2P*
Na I,5897.558,NaI-5898,2.102297177,0.0,61400000.0,0.32,2-2,2S-2P*
O I,6048.112,OI-6048,13.038827,10.9888616,1750000.0,0.00576,5-3,3P-3S*
O I,7004.161,OI-7004,12.7590123,10.9888616,3530000.0,0.0363,5-7,3P-3D*
O I,7256.447,OI-7256,12.6974691,10.9888616,3730000.0,0.0177,5-3,3P-3S*
N I,7470.369,NI-7470,11.9955753,10.3358956,19600000.0,0.109,6-4,4P-4S*
O I,7777.527,OI-7778,10.740225,9.1460911,36900000.0,0.201,5-3,5S*-5P
O I,7989.174,OI-7989,12.5406949,10.9887923,41900.0,0.000668,3-5,3P-3D*
O I,8449.079,OI-8449,10.9887923,9.5213638,32200000.0,0.345,3-3,3S*-3P
Ca II,8500.36,CaII-8500,3.150984,1.692408,1110000.0,0.012,4-4,2D-2P*
Ca II,8544.44,CaII-8544,3.150984,1.699932,9900000.0,0.072,6-4,2D-2P*
Ca II,8664.52,CaII-8665,3.123349,1.692408,10600000.0,0.0597,4-2,2D-2P*
N I,8682.666,NI-8683,11.7638464,10.3358956,25300000.0,0.381,6-8,4P-4D*
N I,8705.637,NI-8706,11.7500916,10.3259087,21600000.0,0.245,2-2,4P-4D*
N I,8714.096,NI-8714,11.7528949,10.3300944,12900000.0,0.146,4-4,4P-4D*
O I,11290.005,OI-11290,12.0870382,10.9888616,30900000.0,0.827,5-7,3P-3D*
O I,13168.459,OI-13168,11.9303856,10.9888616,11900000.0,0.186,5-3,3P-3S*
