key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[FeVII]-3760,[Fe VII],3760.24,0.288819,3.58606,0.45,9.5e-10,9-9,3p63d2-3p63d2,3F-1G,4-4,M1,NIST,,3759.171685377579,$[$Fe VII$]$,"$[$Fe VII$]\,\lambda3760$",forbidden,8.55e-09,0,1.0
[FeV]-3840,[Fe V],3840.36,0.09957,3.32802,0.49,1.1e-09,7-7,3d4-3d4,5D-3F2,3-3,M1,NIST,,3839.2708784980427,$[$Fe V$]$,"$[$Fe V$]\,\lambda3840$",forbidden,7.7e-09,0,1.0
[FeV]-3892,[Fe V],3892.41,0.15903,3.34431,0.85,1.9e-09,9-9,3d4-3d4,5D-3F2,4-4,M1,NIST,,3891.307334091782,$[$Fe V$]$,"$[$Fe V$]\,\lambda3892$",forbidden,1.71e-08,0,1.0
[FeV]-3912,[Fe V],3911.92,4.55744,7.72683,0.31,7.1e-10,5-5,3d4-3d4,3D-3F1,2-2,M1+E2,NIST,,3910.8122519630538,$[$Fe V$]$,"$[$Fe V$]\,\lambda3912$",forbidden,3.5500000000000004e-09,0,1.0
[FeV]-4072,[Fe V],4072.44,0.05176,3.09623,1.18,1.76e-09,5-3,3d4-3d4,5D-3P2,2-1,M1,NIST,,4071.2903372801798,$[$Fe V$]$,"$[$Fe V$]\,\lambda4072$",forbidden,8.8e-09,0,1.0
[FeV]-4182,[Fe V],4181.81,0.01766,2.9825,1.52,1.33e-09,3-1,3d4-3d4,5D-3P2,1-0,M1,NIST,,4180.631684276798,$[$Fe V$]$,"$[$Fe V$]\,\lambda4182$",forbidden,3.99e-09,0,1.0
[FeV]-4228,[Fe V],4228.38,0.15903,3.09122,0.0047,1.3e-11,9-9,3d4-3d4,5D-3H,4-4,M1,NIST,,4227.1894626244075,$[$Fe V$]$,"$[$Fe V$]\,\lambda4228$",forbidden,1.17e-10,0,1.0
[ArXIV]-4414,[Ar XIV],4413.795,0.0,2.8090156,104.0,6.07e-07,2-4,2s22p-2s22p,2P*-2P*,1/2-3/2,M1,NIST,,4412.555889384126,$[$Ar XIV$]$,"$[$Ar XIV$]\,\lambda4414$",forbidden,1.214e-06,0,1.0
[FeIII]-4659,[Fe III],4659.42,0.0,2.660939,0.43,1.4e-09,9-9,3d6-3d6,5D-a3F,4-4,M1,NIST,,4658.115832343958,$[$Fe III$]$,"$[$Fe III$]\,\lambda4659$",forbidden,1.2599999999999999e-08,0,1.0
[FeVII]-4700,[Fe VII],4700.14,0.0,2.63788,0.019,6.3e-11,5-5,3p63d2-3p63d2,3F-3P,2-2,M1+E2,NIST,,4698.825056385525,$[$Fe VII$]$,"$[$Fe VII$]\,\lambda4700$",forbidden,3.15e-10,0,1.0
[ArIV]-4713,[Ar IV],4712.58,0.0,2.63092,0.0096,4e-11,4-6,3s23p3-3s23p3,4S*-2D*,3/2-5/2,M1+E2,NIST,,4711.261763065987,$[$Ar IV$]$,"$[$Ar IV$]\,\lambda4713$",forbidden,1.6e-10,0,1.0
[ArIV]-4741,[Ar IV],4741.45,0.0,2.6149,0.072,2.4e-10,4-4,3s23p3-3s23p3,4S*-2D*,3/2-3/2,M1,NIST,,4740.124117913804,$[$Ar IV$]$,"$[$Ar IV$]\,\lambda4741$",forbidden,9.6e-10,0,1.0
[FeVII]-4895,[Fe VII],4895.05,0.0,2.53285,0.0354,7.63e-11,5-3,3p63d2-3p63d2,3F-3P,2-1,M1+E2,NIST,,4893.68339297083,$[$Fe VII$]$,"$[$Fe VII$]\,\lambda4895$",forbidden,3.815e-10,0,1.0
[FeIV]-4904,[Fe IV],4904.44,4.0054,6.5334,0.13,4.7e-10,8-8,3d5-3d5,4G-4F,7/2-7/2,M1,NIST,,4903.070900751267,$[$Fe IV$]$,"$[$Fe IV$]\,\lambda4904$",forbidden,3.76e-09,0,1.0
[FeVII]-4944,[Fe VII],4944.08,0.130152,2.63788,0.077,2e-10,7-5,3p63d2-3p63d2,3F-3P,3-2,M1+E2,NIST,,4942.700376683048,$[$Fe VII$]$,"$[$Fe VII$]\,\lambda4944$",forbidden,1.4000000000000001e-09,0,1.0
[FeIII]-5086,[Fe III],5086.25,0.12736,2.565,0.094,1.1e-09,1-3,3d6-3d6,5D-a3P,0-1,M1,NIST,,5084.83259193876,$[$Fe III$]$,"$[$Fe III$]\,\lambda5086$",forbidden,1.1e-09,0,1.0
[FeVI]-5147,[Fe VI],5147.18,0.14733,2.55611,0.26,1e-09,8-8,3d3-3d3,4F-2G,7/2-7/2,M1,NIST,,5145.746380415924,$[$Fe VI$]$,"$[$Fe VI$]\,\lambda5147$",forbidden,8e-09,0,1.0
