key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[FeII]-3004,[Fe II],3004.047,0.35186476,4.47910423,0.0115,1.04e-11,6-4,3d7-3d6(3D)4s,a4F-b2D,5/2-3/2,M1+E2,NIST,,3003.1711711519856,$[$Fe II$]$,"$[$Fe II$]\,\lambda3004$",forbidden,6.24e-11,40,0.3595454905427658
[FeII]-3029,[Fe II],3029.484,0.38651921,4.47910423,0.014,1.9e-11,4-4,3d7-3d6(3D)4s,a4F-b2D,3/2-3/2,M1+E2,NIST,,3028.6019564372996,$[$Fe II$]$,"$[$Fe II$]\,\lambda3029$",forbidden,7.6e-11,40,0.6404545094572341
[FeII]-3176,[Fe II],3176.297,0.0,3.90341906,0.232,2.81e-10,10-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,9/2-7/2,M1,NIST,,3175.378743089073,$[$Fe II$]$,"$[$Fe II$]\,\lambda3176$",forbidden,2.81e-09,17,0.258478414596869
[FeII]-3216,[Fe II],3215.598,0.04770753,3.90341906,0.079,1.23e-10,8-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,7/2-7/2,M1,NIST,,3214.6698109863128,$[$Fe II$]$,"$[$Fe II$]\,\lambda3216$",forbidden,9.84e-10,17,0.10904383987576723
[FeII]-3225,[Fe II],3225.474,0.04770753,3.89161339,0.035,4.1e-11,8-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,7/2-5/2,M1,NIST,,3224.5432712544684,$[$Fe II$]$,"$[$Fe II$]\,\lambda3225$",forbidden,3.28e-10,17,0.027383916007811968
[FeII]-3245,[Fe II],3245.119,0.08278213,3.90341906,0.032,6.8e-11,6-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,5/2-7/2,M1,NIST,,3244.182494547091,$[$Fe II$]$,"$[$Fe II$]\,\lambda3245$",forbidden,4.08e-10,17,0.05865409059415991
[FeII]-3255,[Fe II],3255.177,0.08278213,3.89161339,0.131,2.08e-10,6-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,5/2-5/2,M1,NIST,,3254.238354042128,$[$Fe II$]$,"$[$Fe II$]\,\lambda3255$",forbidden,1.248e-09,17,0.1351549150471412
[FeII]-3276,[Fe II],3275.964,0.10695023,3.89161339,0.062,1.49e-10,4-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-5/2,M1,NIST,,3275.019988320317,$[$Fe II$]$,"$[$Fe II$]\,\lambda3276$",forbidden,5.96e-10,17,0.09498635893022064
[FeII]-3278,[Fe II],3278.061,0.10695023,3.8891925,0.054,4.3e-11,4-2,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-1/2,M1,NIST,,3277.1162957878473,$[$Fe II$]$,"$[$Fe II$]\,\lambda3278$",forbidden,1.72e-10,17,0.009145522378199518
[FeII]-3278,[Fe II],3278.49,0.10695023,3.88869686,0.172,2.8e-10,4-4,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-3/2,M1,NIST,,3277.545806669731,$[$Fe II$]$,"$[$Fe II$]\,\lambda3278$",forbidden,1.12e-09,17,0.1191262257883998
[FeII]-3290,[Fe II],3290.404,0.12113874,3.8891925,0.279,4.54e-10,2-2,3d6(5D)4s-3d6(3D)4s,a6D-b4D,1/2-1/2,M1,NIST,,3289.456609637605,$[$Fe II$]$,"$[$Fe II$]\,\lambda3290$",forbidden,9.08e-10,17,0.0954771250652774
[FeII]-3291,[Fe II],3290.837,0.12113874,3.88869686,0.068,2.2e-10,2-4,3d6(5D)4s-3d6(3D)4s,a6D-b4D,1/2-3/2,M1,NIST,,3289.889359619155,$[$Fe II$]$,"$[$Fe II$]\,\lambda3291$",forbidden,4.4e-10,17,0.09254959171615323
