key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII]-3700,Fe II,3700.22,8.932197,12.282922,58290.0,0.00011965752308065963,4-4,(3D)4p-(3P)5s,4P-2P,3/2-3/2,E1,3699.167,semi-forbidden,0.00047863009232263854,20,0.0005538742172602211,4P,K88,--
FeII]-3701,Fe II,3700.954,4.494789,7.844849,12460.0,2.5576949713321566e-05,6-6,(3D)4s-(3F)4p,b2D-x4D,5/2-5/2,E1,3699.901,semi-forbidden,0.0001534616982799294,26,0.00013924433771182827,b2D,K88,--
FeII]-3706,Fe II,3706.438,8.970508,12.315611,28920.0,7.44577679411263e-05,8-10,(3D)4p-(3H)5s,w4F-e2H,7/2-9/2,E1,3705.384,semi-forbidden,0.0005956621435290103,23,0.002751911072885035,w4F,K88,--
FeII-3709,Fe II,3708.778,8.943029,12.286022,158700.0,0.00039264493539959967,10-12,(1G)4p-(3H)5s,x2H-e2H,9/2-11/2,E1,3707.723,permitted,0.003926449353995997,11,0.5036901861117066,x2H,K88,--
FeII-3711,Fe II,3711.197,4.731757,8.072571,10500.0,2.889673329590229e-05,6-8,(1D)4s-(3F)4p,c2D-y2G,5/2-7/2,E1,3710.141,permitted,0.00017338039977541375,4,0.0002456458142847263,c2D,K88,--
FeII-3711,Fe II,3711.418,7.568212,10.908827,4741.0,9.791489208829615e-06,6-6,(3H)4p-(5D)4d,z4G-4P,5/2-5/2,E1,3710.362,permitted,5.874893525297769e-05,54,6.54724743524667e-05,z4G,K88,--
FeII-3712,Fe II,3712.465,7.397326,10.736999,2380.0,7.37802306666596e-06,4-6,(3P)4p-(5D)4d,z4S-e4F,3/2-5/2,E1,3711.409,permitted,2.951209226666384e-05,68,0.0004226564003677724,z4S,K88,--
FeII-3713,Fe II,3713.039,5.910912,9.250069,969400.0,0.003005661086543533,4-6,d7-(3D)4p,d2D1-x2D,3/2-5/2,E1,3711.983,permitted,0.012022644346174132,116,0.025355724745511937,d2D1,FMW,--
FeII]-3713,Fe II,3713.447,2.27643,5.61522,349.6,7.226699705913694e-07,4-4,d7-(5D)4p,a2P-z4F,3/2-3/2,E1,3712.391,semi-forbidden,2.8906798823654776e-06,112,6.795337764280366e-05,a2P,K88,--
FeII-3714,Fe II,3714.356,9.007534,12.345506,1082000.0,0.00223872113856834,10-10,(3D)4p-(3F)5s,w4F-f4F,9/2-9/2,E1,3713.3,permitted,0.0223872113856834,23,0.0767027950806078,w4F,K88,--
FeII-3715,Fe II,3714.524,9.007685,12.345506,1719000.0,0.004445391482112316,8-10,(3D)4p-(3F)5s,w4D-f4F,7/2-9/2,E1,3713.468,permitted,0.03556313185689853,22,0.11041383696184286,w4D,K88,--
FeII]-3717,Fe II,3717.321,4.153626,7.488936,1551.0,2.409406141488671e-06,8-6,(1G)4s-(3P)4p,c2G-y4P,7/2-5/2,E1,3716.264,semi-forbidden,1.9275249131909368e-05,12,1.1453038322951568e-05,c2G,K88,--
FeII]-3718,Fe II,3717.548,8.947815,12.282922,35860.0,7.429165079345063e-05,4-4,(3D)4p-(3P)5s,w4F-2P,3/2-3/2,E1,3716.491,semi-forbidden,0.00029716660317380254,23,0.0011742860717125542,w4F,K88,--
FeII]-3719,Fe II,3718.548,7.574618,10.908827,13970.0,2.896334714582294e-05,6-6,(3P)4p-(5D)4d,z2D-4P,5/2-5/2,E1,3717.491,semi-forbidden,0.00017378008287493763,65,0.0009580063628077814,z2D,K88,--
FeII]-3721,Fe II,3721.232,2.543779,5.875584,5492.0,7.600615265854933e-06,6-4,d7-(5D)4p,a2D2-z4P,5/2-3/2,E1,3720.174,semi-forbidden,4.56036915951296e-05,109,0.000522276783954907,a2D2,K88,--
FeII]-3722,Fe II,3721.73,2.029542,5.360901,8.679,1.3517924391224219e-08,8-6,d7-(5D)4p,a2G-z6P,7/2-5/2,E1,3720.672,semi-forbidden,1.0814339512979375e-07,110,1.5272938757045064e-06,a2G,K88,--
FeII]-3722,Fe II,3722.11,7.128263,10.459282,10780.0,2.2384119138739843e-05,4-4,d54s2-(1F)4p,d4P-v2D,3/2-3/2,E1,3721.052,semi-forbidden,8.953647655495937e-05,108,0.00037531255233794273,d4P,K88,--
FeII]-3722,Fe II,3722.498,9.057651,12.388324,55130.0,7.635698111908892e-05,6-4,(1G)4p-(3F)5s,2F-f4F,5/2-3/2,E1,3721.439,semi-forbidden,0.0004581418867145335,9,0.06974953365275516,2F,K88,--
FeII]-3724,Fe II,3723.636,8.953268,12.282922,69520.0,0.00028904802370285904,2-4,(3D)4p-(3P)5s,4D-2P,1/2-3/2,E1,3722.577,semi-forbidden,0.0005780960474057181,19,0.005166203378792564,4D,K88,--
FeII]-3725,Fe II,3724.977,2.27643,5.604885,3111.0,3.2354896036249657e-06,4-2,d7-(5D)4p,a2P-z4D,3/2-1/2,E1,3723.918,semi-forbidden,1.2941958414499863e-05,112,0.00015436867524114002,a2P,K88,--
FeII]-3726,Fe II,3726.364,4.479101,7.806318,282200.0,0.0005874082052120768,4-4,(3D)4s-(3P)4p,b2D-y4D,3/2-3/2,E1,3725.304,semi-forbidden,0.0023496328208483072,26,0.002284022182437955,b2D,K88,--
FeII-3727,Fe II,3726.932,8.959312,12.286022,76430.0,0.00015915443821385323,12-12,(1G)4p-(3H)5s,x2H-e2H,11/2-11/2,E1,3725.872,permitted,0.0019098532585662387,11,0.20119646725704005,x2H,K88,--
FeII-3728,Fe II,3727.956,7.604294,10.930089,167200.0,0.0003482892007363259,4-4,(3P)4p-(5D)4d,y4P-4P,3/2-3/2,E1,3726.896,permitted,0.0013931568029453036,64,0.004371543137548702,y4P,K88,--
FeII-3728,Fe II,3728.097,5.910912,9.236582,2405000.0,0.0050111800684129034,4-4,d7-(3D)4p,d2D1-x2D,3/2-3/2,E1,3727.037,permitted,0.020044720273651614,116,0.02872803948649049,d2D1,K88,--
FeII]-3729,Fe II,3729.454,1.964486,5.288946,104.2,1.7378008287493765e-07,10-8,d7-(5D)4p,a2G-z6P,9/2-7/2,E1,3728.394,semi-forbidden,1.7378008287493763e-06,110,3.074522013428264e-05,a2G,K88,--
FeII-3730,Fe II,3730.244,9.052848,12.376604,40690.0,6.36663588821494e-05,8-6,(3D)4p-(3F)5s,4D-f4F,7/2-5/2,E1,3729.183,permitted,0.0005093308710571952,19,0.0013660462598773955,4D,K88,--
FeII]-3734,Fe II,3733.946,7.138822,10.459282,7207.0,3.0127979303717903e-05,2-4,d54s2-(1F)4p,d4P-v2D,1/2-3/2,E1,3732.885,semi-forbidden,6.0255958607435806e-05,108,0.0005003646245331239,d4P,K88,--
FeII]-3736,Fe II,3735.642,9.057651,12.376604,2656.0,5.5571068793872454e-06,6-6,(1G)4p-(3F)5s,2F-f4F,5/2-5/2,E1,3734.58,semi-forbidden,3.334264127632347e-05,9,0.007742005544168821,2F,K88,--
FeII]-3741,Fe II,3740.934,9.074066,12.388324,437600.0,0.001836411502490423,2-4,(3D)4p-(3F)5s,y2P-f4F,1/2-3/2,E1,3739.871,semi-forbidden,0.003672823004980846,25,0.18643925701646338,y2P,K88,--
FeII]-3741,Fe II,3741.19,9.074293,12.388324,118600.0,0.00024885135433788186,4-4,(3D)4p-(3F)5s,y2P-f4F,3/2-3/2,E1,3740.127,semi-forbidden,0.0009954054173515275,25,0.025259119751785873,y2P,K88,--
FeII]-3743,Fe II,3742.623,2.27643,5.589193,3362.0,1.0591074151238522e-05,4-6,d7-(5D)4p,a2P-z4F,3/2-5/2,E1,3741.559,semi-forbidden,4.236429660495409e-05,112,0.0015500289576858013,a2P,K88,--
FeII]-3744,Fe II,3744.016,4.494789,7.806318,1246.0,1.7452142467514976e-06,6-4,(3D)4s-(3P)4p,b2D-y4D,5/2-3/2,E1,3742.952,semi-forbidden,1.0471285480508985e-05,26,6.690395581551264e-06,b2D,K88,--
FeII]-3745,Fe II,3744.941,4.479101,7.789812,22450.0,2.3601521907148066e-05,4-2,(3D)4s-(3P)4p,b2D-y4D,3/2-1/2,E1,3743.877,semi-forbidden,9.440608762859227e-05,26,4.6970861344905644e-05,b2D,K88,--
FeII]-3746,Fe II,3746.424,4.494789,7.80419,16550.0,4.6435352810496155e-05,6-8,(3D)4s-(3F)4p,b2D-x4D,5/2-7/2,E1,3745.359,semi-forbidden,0.00027861211686297695,26,0.0003570993252027405,b2D,K88,--
FeII]-3748,Fe II,3747.631,2.27643,5.584765,28810.0,6.066525237706036e-05,4-4,d7-(5D)4p,a2P-z4D,3/2-3/2,E1,3746.566,semi-forbidden,0.00024266100950824144,112,0.00595620392732801,a2P,K88,--
FeII]-3748,Fe II,3747.923,9.007534,12.315611,547700.0,0.0011534532578210924,10-10,(3D)4p-(3H)5s,w4F-e2H,9/2-9/2,E1,3746.858,semi-forbidden,0.011534532578210924,23,0.041230881744089315,w4F,K88,--
FeII]-3748,Fe II,3748.094,9.007685,12.315611,752500.0,0.001981116490576392,8-10,(3D)4p-(3H)5s,w4D-e2H,7/2-9/2,E1,3747.029,semi-forbidden,0.015848931924611134,22,0.05133746497066123,w4D,K88,--
FeII-3749,Fe II,3749.223,9.052848,12.359778,64590.0,0.00013611626166667916,8-8,(3D)4p-(3F)5s,4D-f4F,7/2-7/2,E1,3748.158,permitted,0.0010889300933334333,19,0.0039879702371336785,4D,K88,--
FeII-3750,Fe II,3749.549,4.731757,8.038401,4113000.0,0.0057789475075421945,6-4,(1D)4s-(3P)4p,c2D-z2P,5/2-3/2,E1,3748.483,permitted,0.034673685045253165,4,0.025782566215253246,c2D,FMW,--
FeII-3751,Fe II,3751.035,7.47257,10.777903,18910.0,3.989422318875952e-05,8-8,d54s2-(3P)4p,c4D-v4D,7/2-7/2,E1,3749.969,permitted,0.00031915378551007617,107,0.0007850473927284336,c4D,K88,--
FeII]-3754,Fe II,3754.468,9.074293,12.376604,377500.0,0.0011965752308065963,4-6,(3D)4p-(3F)5s,y2P-f4F,3/2-5/2,E1,3753.401,semi-forbidden,0.004786300923226385,25,0.18522806256592786,y2P,K88,--
FeII]-3755,Fe II,3754.676,9.057651,12.359778,89720.0,0.0002528417279098895,6-8,(1G)4p-(3F)5s,2F-f4F,5/2-7/2,E1,3753.609,semi-forbidden,0.0015170503674593369,9,0.48098377309258605,2F,K88,--
