ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,3003.5173269637316,a4P,0.3347222222222222,,9
Fe II,3011.089214105335,z4P*,0.05105263157894737,,28
Fe II,3017.0006882580155,d4P,0.3085889570552147,,24
Fe II,3034.3200113588186,z4P*,0.05789473684210526,,28
Fe II,3037.8508934581287,z4P*,0.2431578947368421,,28
Fe II,3049.8678974705745,z4P*,0.3,,28
Fe II,3056.240491656857,z4P*,0.24526315789473685,,28
Fe II,3072.0144411277574,z4P*,0.20210526315789473,,28
Fe II,3077.3257720558895,z4P*,0.41947368421052633,,28
Fe II,3079.5723351680003,z4P*,1.0,,28
Fe II,3162.8912847421816,a4P,0.19166666666666668,,9
Fe II,3164.0115672565616,a4P,0.24513888888888888,,9
Fe II,3167.5864689220807,a4P,0.11041666666666666,,9
Fe II,3171.246392254909,a4P,0.10138888888888889,,9
Fe II,3184.0326197458885,a4P,0.28680555555555554,,9
Fe II,3186.2371764922937,a4P,0.2125,,9
Fe II,3187.652533973702,a4P,0.15833333333333333,,9
Fe II,3193.831094896853,a4P,0.17708333333333334,,9
Fe II,3194.7153183339174,a4P,0.11875,,9
Fe II,3196.990893414191,a4P,0.4097222222222222,,9
Fe II,3211.366528334719,a4P,0.1597222222222222,,9
Fe II,3214.232253336386,a4P,0.20208333333333334,,9
Fe II,3228.672908657434,a4P,0.4666666666666667,,9
Fe II,3256.828044756517,a4D,1.0,,5
Fe II,3278.292493070029,a4D,0.8687258687258688,,5
Fe II,3282.236494911583,a4D,0.38996138996138996,,5
Fe II,3296.7721891603182,a4D,0.15791505791505792,,5
Fe II,3304.418133591381,a4D,0.20772200772200772,,5
Fe II,3416.990853488773,a2P,0.4778225806451613,,4
Fe II,3444.8139767431144,a2P,0.3064516129032258,,4
Fe II,3495.6640190112985,a2P,1.0,,4
Fe II,3508.4082923571145,a2P,0.2862903225806452,,4
Fe II,3509.205497178078,a4P,0.15763888888888888,,9
Fe II,928.8701547722119,a6D,0.029522388059701494,,10
Fe II,1134.2860266022894,a4F,0.46198347107438015,,6
Fe II,1136.1884285507451,a4F,0.0428099173553719,,6
Fe II,1139.5476782287394,a4F,0.20082644628099172,,6
Fe II,1144.652666505415,b4P,0.22822822822822822,,19
Fe II,1160.0956570291196,a4H,0.19738562091503267,,8
Fe II,1171.147702489392,b4F,0.05897435897435897,,17
Fe II,1176.5395588005997,b4F,0.1482051282051282,,17
Fe II,1200.2404271201387,a4H,0.18594771241830066,,8
Fe II,1209.996133904237,a4D,0.1613899613899614,,5
Fe II,1212.5510693138804,a4D,0.03127413127413128,,5
Fe II,1213.6546168284158,a4G,0.03982832618025751,,7
Fe II,1264.24989276186,a4G,0.03579399141630901,,7
Fe II,1265.6185326686702,a4G,0.027510729613733905,,7
Fe II,1266.1853847227762,a4G,0.02738197424892704,,7
Fe II,1266.8012247776694,a4G,0.050643776824034335,,7
Fe II,1267.072154670326,a4G,0.06652360515021459,,7
Fe II,1275.014167654099,b2H,0.4373913043478261,,14
Fe II,1286.9724082852067,a4P,0.055,,9
Fe II,1289.265908662866,a4P,0.03666666666666667,,9
Fe II,1289.6358289262148,a4P,0.07847222222222222,,9
Fe II,1292.0853067750195,a4P,0.0475,,9
Fe II,1292.124298544373,a4P,0.07430555555555556,,9
Fe II,1292.9461256523498,a4P,0.06402777777777778,,9
Fe II,1294.1328779451287,a4P,0.08055555555555556,,9
Fe II,1294.2868459759197,a4P,0.03652777777777778,,9
Fe II,1295.4466063979546,a4P,0.07777777777777778,,9
Fe II,1296.625365099428,a4P,0.04791666666666667,,9
Fe II,1296.8263241816128,a4P,0.08680555555555555,,9
Fe II,1299.341817331169,a4P,0.04097222222222222,,9
Fe II,1299.819722141326,a4P,0.08402777777777778,,9
Fe II,1299.9716919447385,a4P,0.035486111111111114,,9
Fe II,1300.5335806013,a4P,0.050486111111111114,,9
Fe II,1301.751340924263,b4D,0.0858974358974359,,16
Fe II,1309.5058652636112,a2I,0.7804878048780488,,3
Fe II,1310.0927570074261,a2I,1.0,,3
Fe II,1311.1265674436281,b2G,0.09183417085427135,,13
Fe II,1311.5994812044826,a2I,0.989159891598916,,3
Fe II,1312.152380755289,b2G,0.06884422110552764,,13
Fe II,1313.0272226379313,b4D,0.21314102564102563,,16
Fe II,1333.264820972051,b4D,0.10288461538461538,,16
Fe II,1353.2658533685055,b4D,0.19230769230769232,,16
Fe II,1355.2785714573142,a2I,0.8658536585365854,,3
Fe II,1364.9632479143063,b2P,1.0,,15
Fe II,1378.9644064065653,b2H,0.4391304347826087,,14
Fe II,1380.240241371923,a2P,0.11008064516129032,,4
Fe II,1385.1976025254726,b4P,0.05185185185185185,,19
Fe II,1409.783411479332,a2F,1.0,,0
Fe II,1424.2114200077879,b4P,0.07847847847847848,,19
Fe II,1427.6539191848576,b4P,0.0968968968968969,,19
Fe II,1437.9763339929061,b4P,0.16316316316316315,,19
Fe II,1441.5057573300337,b4P,0.051351351351351354,,19
Fe II,1444.2562934489993,b2G,0.06721105527638191,,13
Fe II,1453.4386377907783,b4P,0.15615615615615616,,19
Fe II,1454.2194884211715,b4P,0.05165165165165165,,19
