key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,line_ratio,multiplet,multiplet_term
FeII-927,Fe II,928.8701547722119,0.048,0.0,0.0,0.0,,,a6D-u6D*,7/2-7/2,E1,Sigut+03,,927.174,Fe II,"Fe II$\,\lambda927$",permitted,0.0,989,10,a6D
FeII-1133,Fe II,1134.2860266022894,0.301,0.0,0.0,0.0,,,a4F-u4D*,7/2-5/2,E1,Sigut+03,,1133.674,Fe II,"Fe II$\,\lambda1133$",permitted,0.0,5590,6,a4F
FeII-1135,Fe II,1136.1884285507451,0.352,0.0,0.0,0.0,,,a4F-u4P*,5/2-3/2,E1,Sigut+03,,1135.578,Fe II,"Fe II$\,\lambda1135$",permitted,0.0,518,6,a4F
FeII-1138,Fe II,1139.5476782287394,0.352,0.0,0.0,0.0,,,a4F-u4D*,5/2-5/2,E1,Sigut+03,,1138.94,Fe II,"Fe II$\,\lambda1138$",permitted,0.0,2430,6,a4F
FeII-1144,Fe II,1144.652666505415,2.582,0.0,0.0,0.0,,,b4P-u6D*,5/2-7/2,E1,Sigut+03,,1144.049,Fe II,"Fe II$\,\lambda1144$",permitted,0.0,2280,19,b4P
FeII-1159,Fe II,1160.0956570291196,2.656,0.0,0.0,0.0,,,a4H-u4G*,11/2-9/2,E1,Sigut+03,,1159.503,Fe II,"Fe II$\,\lambda1159$",permitted,0.0,604,8,a4H
FeII-1170,Fe II,1171.147702489392,2.827,0.0,0.0,0.0,,,b4F-u6D*,7/2-7/2,E1,Sigut+03,,1170.562,Fe II,"Fe II$\,\lambda1170$",permitted,0.0,1150,17,b4F
FeII-1175,Fe II,1176.5395588005997,2.805,0.0,0.0,0.0,,,b4F-u4G*,9/2-9/2,E1,Sigut+03,,1175.957,Fe II,"Fe II$\,\lambda1175$",permitted,0.0,2890,17,b4F
FeII-1199,Fe II,1200.2404271201387,2.675,0.0,0.0,0.0,,,a4H-w4H*,9/2-9/2,E1,Sigut+03,,1199.67,Fe II,"Fe II$\,\lambda1199$",permitted,0.0,569,8,a4H
FeII-1209,Fe II,1209.996133904237,0.986,0.0,0.0,0.0,,,a4D-u4D*,7/2-5/2,E1,Sigut+03,,1209.43,Fe II,"Fe II$\,\lambda1209$",permitted,0.0,4180,5,a4D
