key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
TiI]-3700,Ti I,3700.042,2.317901,5.668788,8719.0,1.7896062613091886e-05,9-9,(3F)sp-s2F)4d,z5D-f3H,4-4,E1,3698.989,semi-forbidden,0.00016106456351782698,45,4.097319623109452e-05,z5D,K,--
FeI-3700,Fe I,3700.067,3.017622,6.368486,73390.0,0.0001506266994844656,7-7,4s2-a2D)4p,b3G-v3F,3-3,E1,3699.014,permitted,0.0010543868963912592,98,0.0021464934361260604,b3G,K94,--
FeI-3700,Fe I,3700.119,3.943326,7.294142,40980.0,8.412052219365556e-05,7-7,5Dsp3P-58831even,--,3-3,E1,3699.066,permitted,0.0005888436553555889,103,6.388261083042988e-05,,K94,--
FeI]-3700,Fe I,3700.192,3.01725,6.368,4493000.0,0.012913084580693113,5-7,(2P)4s-s6D)5p,c3P-t5D,2-3,E1,3699.139,semi-forbidden,0.06456542290346556,24,0.08071864805343726,c3P,FMW,--
FeII]-3700,Fe II,3700.22,8.932197,12.282922,58290.0,0.00011965752308065963,4-4,(3D)4p-(3P)5s,4P-2P,3/2-3/2,E1,3699.167,semi-forbidden,0.00047863009232263854,20,0.002324791173578436,4P,K88,--
TiI]-3700,Ti I,3700.39,2.480433,5.831005,55020.0,0.00015813572559996507,5-7,(3F)sp-d24p2,z3D-g5G,2-3,E1,3699.337,semi-forbidden,0.0007906786279998254,42,0.00039446098234915093,z3D,K,--
FeI]-3700,Fe I,3700.457,3.928607,7.279118,233600.0,0.0006714752284859091,5-7,5Dsp3P-s4D)4d,z3D-g5G,2-3,E1,3699.404,semi-forbidden,0.003357376142429545,104,0.001911446063843902,z3D,K94,--
FeI-3701,Fe I,3700.871,3.984107,7.334243,581300.0,0.0007161928742052718,5-3,5Dsp3P-s4D)4d,z3F-3S,2-1,E1,3699.818,permitted,0.003580964371026359,105,0.0005676023694863444,z3F,K94,--
FeII]-3701,Fe II,3700.954,4.494789,7.844849,12460.0,2.5576949713321566e-05,6-6,(3D)4s-(3F)4p,b2D-x4D,5/2-5/2,E1,3699.901,semi-forbidden,0.0001534616982799294,26,0.000847195325809684,b2D,K88,--
TiI-3701,Ti I,3701.095,2.255591,5.605524,15100000.0,0.02624560858630219,13-11,(2H)4s-(4F)5p,a3H-3G,6-5,E1,3700.042,permitted,0.3411929116219285,29,0.03226520125319602,a3H,K,--
FeI]-3701,Fe I,3701.099,3.110962,6.460891,389400.0,0.00239883291901949,1-3,(2P)4s-s6D)5p,c3P-u5P,0-1,E1,3700.046,semi-forbidden,0.00239883291901949,24,0.005176280047161125,c3P,K94,--
FeI-3702,Fe I,3701.652,3.240969,6.590397,355700.0,0.0009395111962220294,7-9,5Dsp3P-(4F)4d,z5D-h5D,3-4,E1,3700.599,permitted,0.006576578373554205,107,5.2388700777031904e-05,z5D,K94,--
FeI]-3702,Fe I,3701.766,3.881603,7.230929,6413.0,1.317520831296844e-05,9-9,5Dsp3P-s6D)7s,z3F-5D,4-4,E1,3700.713,semi-forbidden,0.00011857687481671596,105,3.978449350131967e-05,z3F,K94,--
TiI]-3702,Ti I,3701.829,2.495313,5.844582,12000.0,3.168852028286028e-05,7-9,(3F)sp-d24p2,z3D-g5G,3-4,E1,3700.776,semi-forbidden,0.00022181964198002193,42,9.836235268139368e-05,z3D,K,--
