ion,wave_vac,key,configuration,terms,Ei,Ek,Aki,fik,gigk
H I,1025.722,LyB,1s-3,,0.0,12.0875052,55751000.0,0.079142,2-18
H I,1215.67,LyA,1s-2,,0.0,10.1988358,469860000.0,0.41641,2-8
H I,3656.165,H40,2-40,,10.1988358,13.58993566,67.464,5.4079e-05,8-3200
H I,3656.641,H39,2-39,,10.1988358,13.58949423,76.576,5.8368e-05,8-3042
H I,3657.155,H38,2-38,,10.1988358,13.5890175,87.206,6.3123e-05,8-2888
H I,3657.712,H37,2-37,,10.1988358,13.58850159,99.657,6.841e-05,8-2738
H I,3658.315,H36,2-36,,10.1988358,13.58794208,114.3,7.4305e-05,8-2592
H I,3658.972,H35,2-35,,10.1988358,13.58733395,131.61,8.0898e-05,8-2450
H I,3659.688,H34,2-34,,10.1988358,13.58667137,152.16,8.8297e-05,8-2312
H I,3660.47,H33,2-33,,10.1988358,13.58594765,176.69,9.6627e-05,8-2178
H I,3661.326,H32,2-32,,10.1988358,13.58515502,206.12,0.00010604,8-2048
H I,3662.268,H31,2-31,,10.1988358,13.58428445,241.62,0.00011672,8-1922
H I,3663.306,H30,2-30,,10.1988358,13.58332538,284.74,0.00012889,8-1800
H I,3664.453,H29,2-29,,10.1988358,13.58226541,337.42,0.00014281,8-1682
H I,3665.727,H28,2-28,,10.1988358,13.58108984,402.24,0.00015882,8-1568
H I,3667.146,H27,2-27,,10.1988358,13.57978125,482.61,0.00017732,8-1458
H I,3668.733,H26,2-26,,10.1988358,13.57831878,583.04,0.00019882,8-1352
H I,3670.516,H25,2-25,,10.1988358,13.57667733,709.63,0.00022395,8-1250
H I,3672.528,H24,2-24,,10.1988358,13.57482645,870.69,0.00025352,8-1152
H I,3674.811,H23,2-23,,10.1988358,13.57272894,1077.7,0.00028854,8-1058
H I,3677.416,H22,2-22,,10.1988358,13.57033894,1346.7,0.00033036,8-968
H I,3680.406,H21,2-21,,10.1988358,13.56759946,1700.5,0.0003807,8-882
H I,3683.863,H20,2-20,,10.1988358,13.56443886,2171.9,0.00044187,8-800
H I,3687.887,H19,2-19,,10.1988358,13.56076619,2809.3,0.00051695,8-722
H I,3692.612,H18,2-18,,10.1988358,13.55646454,3685.1,0.00061017,8-648
H I,3698.21,H17,2-17,,10.1988358,13.55138166,4910.1,0.00072738,8-578
H I,3704.913,H16,2-16,,10.1988358,13.54531624,6658.3,0.0008769,8-512
H I,3713.033,H15,2-15,,10.1988358,13.53799772,9210.2,0.0010708,8-450
H I,3723.004,H14,2-14,,10.1988358,13.52905552,13032.0,0.0013269,8-392
H I,3735.436,H13,2-13,,10.1988358,13.51797128,18927.0,0.0016728,8-338
H I,3751.224,H12,2-12,,10.1988358,13.50400193,28337.0,0.0021521,8-288
H I,3771.708,H11,2-11,,10.1988358,13.48605194,43972.0,0.0028368,8-242
H I,3798.983,H10,2-10,,10.1988358,13.46245155,71225.0,0.0038526,8-200
H I,3836.479,H9,2-9,,10.1988358,13.43055424,121560.0,0.0054317,8-162
H I,3890.158,H8,2-8,,10.1988358,13.38596103,221480.0,0.0080397,8-128
H I,3971.202,H7,2-7,,10.1988358,13.32091817,438890.0,0.012711,8-98
H I,8394.703,Pa20,3-20,,12.0875052,13.56443886,1516.7,0.00071215,18-800
H I,8415.63,Pa19,3-19,,12.0875052,13.56076619,1964.3,0.00083653,18-722
H I,8440.274,Pa18,3-18,,12.0875052,13.55646454,2580.4,0.00099207,18-648
H I,8469.581,Pa17,3-17,,12.0875052,13.55138166,3444.2,0.0011893,18-578
H I,8504.819,Pa16,3-16,,12.0875052,13.54531624,4680.1,0.0014435,18-512
H I,8547.731,Pa15,3-15,,12.0875052,13.53799772,6490.1,0.0017772,18-450
H I,8600.754,Pa14,3-14,,12.0875052,13.52905552,9211.7,0.0022246,18-392
H I,8667.398,Pa13,3-13,,12.0875052,13.51797128,13431.0,0.0028402,18-338
H I,8752.876,Pa12,3-12,,12.0875052,13.50400193,20207.0,0.0037133,18-288
H I,8865.216,Pa11,3-11,,12.0875052,13.48605194,31558.0,0.0049988,18-242
H I,9017.384,Pa10,3-10,,12.0875052,13.46245155,51558.0,0.0069831,18-200
H I,9231.546,Pa9,3-9,,12.0875052,13.43055424,89050.0,0.010239,18-162
H I,9548.588,PaE,3-8,,12.0875052,13.38596103,165060.0,0.016044,18-128
H I,10052.123,PaD,3-7,,12.0875052,13.32091817,335850.0,0.0277,18-98
H I,10941.082,PaG,3-6,,12.0875052,13.22070389,778290.0,0.05587,18-72
H I,12821.576,PaB,3-5,,12.0875052,13.0545017,2200800.0,0.15066,18-50
H I,18756.096,PaA,3-4,,12.0875052,12.7485393,8986000.0,0.84254,18-32
