ion,wave_vac,key,configuration,terms,Ei,Ek,Aki,fik,gigk
He I,2945.965,HeI-2946,1s2s-1s5p,3S-3P*,19.819614525,24.028225064,3200600.0,0.0069405,3-5
He I,3188.667,HeI-3189,1s2s-1s4p,3S-3P*,19.819614525,23.7078912279,5636100.0,0.014319,3-5
He I,3448.577,HeI-3449,1s2s-1s6p,1S-1P*,20.615774823,24.21100267716,2269100.0,0.012137,1-3
He I,3588.286,HeI-3588,1s2p-1s9d,3P*-3D,20.96408688908,24.419335565023,1810700.0,0.0048933,5-7
He I,3614.673,HeI-3615,1s2s-1s5p,1S-1P*,20.615774823,24.04580040653,3802200.0,0.022343,1-3
He I,3635.267,HeI-3635,1s2p-1s8d,3P*-3D,20.96408688908,24.374680880069,2606300.0,0.0072291,5-7
He I,3706.05,HeI-3706,1s2p-1s7d,3P*-3D,20.96408688908,24.3095408973,3952900.0,0.011395,5-7
He I,3820.687,HeI-3821,1s2p-1s6d,3P*-3D,20.96408688908,24.209163110443,6435300.0,0.019717,5-7
He I,3834.636,HeI-3835,1s2p-1s10d,1P*-1D,21.2180227112,24.4512941044573,964700.0,0.0035444,3-5
He I,3872.884,HeI-3873,1s2p-1s9d,1P*-1D,21.2180227112,24.41936311728,1338600.0,0.0050168,3-5
He I,3889.751,HeI-3890,1s2s-1s3p,3S-3P*,19.819614525,23.00707314571,9474600.0,0.035819,3-5
He I,3927.656,HeI-3928,1s2p-1s8d,1P*-1D,21.2180227112,24.374719544511,1937100.0,0.0074666,3-5
He I,3965.851,HeI-3966,1s2s-1s4p,1S-1P*,20.615774823,23.7420700688,6950700.0,0.049168,1-3
He I,4010.39,HeI-4010,1s2p-1s7d,1P*-1D,21.2180227112,24.309597381304,2961200.0,0.0119,3-5
He I,4027.324,HeI-4027,1s2p-1s5d,3P*-3D,20.96408688908,24.042662242088,11601000.0,0.039492,5-7
He I,4121.973,HeI-4122,1s2p-1s5s,3P*-3S,20.96408688908,23.9719714182,2473800.0,0.0037808,5-3
He I,4144.928,HeI-4145,1s2p-1s6d,1P*-1D,21.2180227112,24.209249793955,4881200.0,0.020954,3-5
He I,4389.162,HeI-4389,1s2p-1s5d,1P*-1D,21.2180227112,24.042803412125,8988900.0,0.043269,3-5
He I,4472.729,HeI-4473,1s2p-1s4d,3P*-3D,20.96408688908,23.7360901901,24579000.0,0.1032,5-7
He I,4714.458,HeI-4714,1s2p-1s4s,3P*-3S,20.96408688908,23.593958713,5289400.0,0.010575,5-3
He I,4923.305,HeI-4923,1s2p-1s4d,1P*-1D,21.2180227112,23.73633503536,19863000.0,0.1203,3-5
He I,5017.077,HeI-5017,1s2s-1s3p,1S-1P*,20.615774823,23.0870185296,13372000.0,0.15138,1-3
He I,5049.146,HeI-5049,1s2p-1s4s,1P*-1S,21.2180227112,23.67357059,6771200.0,0.0086265,3-1
He I,5877.243,HeI-5877,1s2p-1s3d,3P*-3D,20.96408688908,23.07365070854,70708000.0,0.51263,5-7
He I,6679.996,HeI-6680,1s2p-1s3d,1P*-1D,21.2180227112,23.07407479777,63705000.0,0.71028,3-5
He I,7067.125,HeI-7067,1s2p-1s3s,3P*-3S,20.96408688908,22.718466419,15474000.0,0.069518,5-3
He I,7283.357,HeI-7283,1s2p-1s3s,1P*-1S,21.2180227112,22.920317359,18299000.0,0.048509,3-1
He I,7818.288,HeI-7818,1s3s-1s7p,3S-3P*,22.718466419,24.30428920147,257480.0,0.0039325,3-5
He I,9519.176,HeI-9519,1s3p-1s7d,3P*-3D,23.00707314571,24.3095408973,1243900.0,0.023658,5-7
He I,10030.462,HeI-10030,1s3d-1s7f,3D-3F*,23.07365070854,24.3097274083893,1218300.0,0.023626,7-9
He I,10314.053,HeI-10314,1s3p-1s6d,3P*-3D,23.00707314571,24.209163110443,1994600.0,0.044535,5-7
He I,10833.306,HeI-10833,1s2s-1s2p,3S-3P*,19.819614525,20.96408688908,10216000.0,0.29958,3-5
He I,10915.982,HeI-10916,1s3d-1s6f,3D-3F*,23.07365070854,24.2094550264796,2164400.0,0.049712,7-9
He I,10920.053,HeI-10920,1s3d-1s6f,1D-1F*,23.07407479777,24.2094557657828,1608300.0,0.040253,5-7
