key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
NIV]-1486,N IV],1486.496,0.0,8.3407,595.0,5.91e-07,1-3,1s22s2-1s22s2p,1S-3P*,0-1,E1,NIST,,1486.496,N IV$]$,"N IV$]\,\lambda1486$",semi-forbidden,5.91e-07,0,1.0
OIII]-1661,O III],1660.809,0.0140323,7.479321,220.0,1.52e-07,3-5,2s22p2-2s2p3,3P-5S*,1-2,E1,NIST,,1660.809,O III$]$,"O III$]\,\lambda1661$",semi-forbidden,4.5600000000000006e-07,1,0.402313945667062
OIII]-1666,O III],1666.15,0.0379607,7.479321,548.0,2.28e-07,5-5,2s22p2-2s2p3,3P-5S*,2-2,E1,NIST,,1666.15,O III$]$,"O III$]\,\lambda1666$",semi-forbidden,1.14e-06,1,0.5976860543329379
NIII]-1747,N III],1746.823,0.0,7.0977,9.49,8.68e-09,2-4,2s22p-2s2p2,2P*-4P,1/2-3/2,E1,NIST,,1746.823,N III$]$,"N III$]\,\lambda1747$",semi-forbidden,1.736e-08,1,0.07039516083745606
NIII]-1749,N III],1748.646,0.0,7.0903,497.0,2.28e-07,2-2,2s22p-2s2p2,2P*-4P,1/2-1/2,E1,NIST,,1748.646,N III$]$,"N III$]\,\lambda1749$",semi-forbidden,4.56e-07,1,0.9296048391625439
CIII]-1909,C III],1908.734,0.0,6.495625,114.0,1.87e-07,1-3,1s22s2-1s22s2p,1S-3P*,0-1,E1,NIST,,1908.734,C III$]$,"C III$]\,\lambda1909$",semi-forbidden,1.87e-07,0,1.0
NII]-2143,N II],2143.45,0.01622,5.80055,127.0,8.72e-08,5-5,2s22p2-2s2p3,3P-5S*,2-2,E1,NIST,,2142.7748728927063,N II$]$,"N II$]\,\lambda2143$",semi-forbidden,4.36e-07,0,1.0
[OIII]-2322,[O III],2321.664,0.0140323,5.354349,0.215,5.79e-11,3-1,2s22p2-2s22p2,3P-1S,1-0,M1,NIST,,2320.951033392114,$[$O III$]$,"$[$O III$]\,\lambda2322$",forbidden,1.737e-10,0,1.0
CII]-2324,C II],2324.236,0.0,5.33441,1.4,2.27e-09,2-4,2s22p-2s2p2,2P*-4P,1/2-3/2,E1,NIST,,2323.5224649013817,C II$]$,"C II$]\,\lambda2324$",semi-forbidden,4.54e-09,1,0.08530673270647114
CII]-2325,C II],2325.43,0.0,5.33167,59.9,4.86e-08,2-2,2s22p-2s2p2,2P*-4P,1/2-1/2,E1,NIST,,2324.71620081152,C II$]$,"C II$]\,\lambda2325$",semi-forbidden,9.72e-08,1,0.9146932672935288
[NeIV]-2423,[Ne IV],2422.546,0.0,5.11793,0.0052,4.6e-12,4-4,2s22p3-2s22p3,4S*-2D*,3/2-3/2,M1,NIST,,2421.810371795551,$[$Ne IV$]$,"$[$Ne IV$]\,\lambda2423$",forbidden,1.84e-11,1,0.7987973606165204
[NeIV]-2425,[Ne IV],2425.158,0.0,5.11242,0.00058,7.7e-13,4-6,2s22p3-2s22p3,4S*-2D*,3/2-5/2,M1+E2,NIST,,2424.4217759588228,$[$Ne IV$]$,"$[$Ne IV$]\,\lambda2425$",forbidden,3.08e-12,1,0.20120263938347965
[MgV]-2784,[Mg V],2783.5,0.0,4.4543,1.87,2.17e-09,5-5,2s22p4-2s22p4,3P-1D,2-2,M1,NIST,,2782.6789151387184,$[$Mg V$]$,"$[$Mg V$]\,\lambda2784$",forbidden,1.0850000000000001e-08,1,0.687341263626512
[ArIV]-2854,[Ar IV],2854.5,0.0,4.343464,2.55,3.11e-09,4-4,3s23p3-3s23p3,4S*-2P*,3/2-3/2,M1,NIST,,2853.661546857641,$[$Ar IV$]$,"$[$Ar IV$]\,\lambda2854$",forbidden,1.244e-08,1,0.911192072427818
[ArIV]-2869,[Ar IV],2869.06,0.0,4.32142,0.97,6e-10,4-2,3s23p3-3s23p3,4S*-2P*,3/2-1/2,M1,NIST,,2868.2179680069517,$[$Ar IV$]$,"$[$Ar IV$]\,\lambda2869$",forbidden,2.4e-09,1,0.08880792757218217
[MgV]-2929,[Mg V],2928.9,0.22108,4.4543,0.536,1.15e-09,3-5,2s22p4-2s22p4,3P-1D,1-2,M1,NIST,,2928.0432027186084,$[$Mg V$]$,"$[$Mg V$]\,\lambda2929$",forbidden,3.45e-09,1,0.31265873637348784
[NeV]-3347,[Ne V],3346.783,0.0509856,3.755564,0.138,3.86e-10,3-5,2s22p2-2s22p2,3P-1D,1-2,M1,NIST,,3345.82107788454,$[$Ne V$]$,"$[$Ne V$]\,\lambda3347$",forbidden,1.158e-09,1,0.3810792099959159
[NeV]-3427,[Ne V],3426.864,0.1375564,3.755564,0.382,6.73e-10,5-5,2s22p2-2s22p2,3P-1D,2-2,M1,NIST,,3425.881619866329,$[$Ne V$]$,"$[$Ne V$]\,\lambda3427$",forbidden,3.365e-09,1,0.6189207900040842
[NI]-3467,[N I],3467.49,0.0,3.5756182,0.0065,1.2e-11,4-4,2s22p3-2s22p3,4S*-2P*,3/2-3/2,M1,NIST,,3466.497010952376,$[$N I$]$,"$[$N I$]\,\lambda3467$",forbidden,4.8e-11,1,0.5
[NI]-3467,[N I],3467.49,0.0,3.5756182,0.0065,1.2e-11,4-4,2s22p3-2s22p3,4S*-2P*,3/2-3/2,M1,NIST,,3466.497010952376,$[$N I$]$,"$[$N I$]\,\lambda3467$",forbidden,4.8e-11,1,0.5
[OII]-3727,[O II],3727.092,0.0,3.326567,0.000159,3.31e-13,4-4,2s22p3-2s22p3,4S*-2D*,3/2-3/2,M1,NIST,,3726.032278110222,$[$O II$]$,"$[$O II$]\,\lambda3727$",forbidden,1.324e-12,2,0.7113138516029409
[OII]-3730,[O II],3729.875,0.0,3.324085,2.86e-05,8.95e-14,4-6,2s22p3-2s22p3,4S*-2D*,3/2-5/2,E2,NIST,,3728.8145570582356,$[$O II$]$,"$[$O II$]\,\lambda3730$",forbidden,3.58e-13,2,0.28868614839705914
[NeIII]-3870,[Ne III],3869.86,0.0,3.203841,0.174,3.91e-10,5-5,2s22p4-2s22p4,3P-1D,2-2,M1,NIST,,3868.7632045705686,$[$Ne III$]$,"$[$Ne III$]\,\lambda3870$",forbidden,1.955e-09,1,0.6644063776021002
[NeIII]-3969,[Ne III],3968.59,0.0797065,3.203841,0.054,2.13e-10,3-5,2s22p4-2s22p4,3P-1D,1-2,M1,NIST,,3967.4674744940608,$[$Ne III$]$,"$[$Ne III$]\,\lambda3969$",forbidden,6.39e-10,1,0.33559362239789986
[SII]-4070,[S II],4069.746,0.0,3.046485,0.192,4.77e-10,4-4,3s23p3-3s23p3,4S*-2P*,3/2-3/2,M1,NIST,,4068.5970421398565,$[$S II$]$,"$[$S II$]\,\lambda4070$",forbidden,1.908e-09,3,0.908314166844063
[SII]-4077,[S II],4077.494,0.0,3.040696,0.0772,9.62e-11,4-2,3s23p3-3s23p3,4S*-2P*,3/2-1/2,M1,NIST,,4076.343014825619,$[$S II$]$,"$[$S II$]\,\lambda4077$",forbidden,3.848e-10,3,0.09168583315593698
[OIII]-4364,[O III],4364.436,2.513565,5.354349,1.71,9.77e-10,5-1,2s22p2-2s22p2,1D-1S,2-0,E2,NIST,,4363.209690105555,$[$O III$]$,"$[$O III$]\,\lambda4364$",forbidden,4.885e-09,0,1.0
[OIII]-4960,[O III],4960.295,0.0140323,2.513565,0.00621,3.82e-11,3-5,2s22p2-2s22p2,3P-1D,1-2,M1,NIST,,4958.91107030665,$[$O III$]$,"$[$O III$]\,\lambda4960$",forbidden,1.146e-10,1,0.3660306180708168
[OIII]-5008,[O III],5008.24,0.0379607,2.513565,0.0181,6.81e-11,5-5,2s22p2-2s22p2,3P-1D,2-2,M1,NIST,,5006.843332316028,$[$O III$]$,"$[$O III$]\,\lambda5008$",forbidden,3.405e-10,1,0.6339693819291831
[NI]-5202,[N I],5201.705,0.0,2.3835298,6.59e-06,4.01e-14,4-6,2s22p3-2s22p3,4S*-2D*,3/2-5/2,E2,NIST,,5200.256864388595,$[$N I$]$,"$[$N I$]\,\lambda5202$",forbidden,1.604e-13,0,1.0
[CaV]-5311,[Ca V],5310.59,0.0,2.33466,1.93,8.16e-09,5-5,3s23p4-3s23p4,3P-1D,2-2,M1,NIST,,5309.112852928492,$[$Ca V$]$,"$[$Ca V$]\,\lambda5311$",forbidden,4.08e-08,0,1.0
[ClIII]-5519,[Cl III],5519.242,0.0,2.246399,0.00086,5.9e-12,4-6,3s23p3-3s23p3,4S*-2D*,3/2-5/2,E2,NIST,,5517.7091791216835,$[$Cl III$]$,"$[$Cl III$]\,\lambda5519$",forbidden,2.36e-11,1,0.22805467505641286
[ClIII]-5539,[Cl III],5539.411,0.0,2.23822,0.0065,3e-11,4-4,3s23p3-3s23p3,4S*-2D*,3/2-3/2,M1,NIST,,5537.872792294552,$[$Cl III$]$,"$[$Cl III$]\,\lambda5539$",forbidden,1.2e-10,1,0.771945324943587
[OI]-5579,[O I],5578.887,1.9673642,4.1897463,1.26,1.18e-09,5-1,2s22p4-2s22p4,1D-1S,2-0,E2,NIST,,5577.338246351693,$[$O I$]$,"$[$O I$]\,\lambda5579$",forbidden,5.9e-09,0,1.0
