key,ion,wave_vac,Ei,Ek,Aki,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,multiplet,line_ratio
NeVIII-770,Ne VIII,770.409,0.0,16.093,0.0,1s22s-1s22p,2S-2P0,1/2-3/2,,Z97,,0.0,Ne VIII,"Ne VIII$\,\lambda770$",22,1.0
NeVIII-780,Ne VIII,780.324,0.0,15.889,0.0,1s22s-1s22p,2S-2P0,1/2-1/2,,Z97,,0.0,Ne VIII,"Ne VIII$\,\lambda780$",22,1.0
Ly40,H I,912.324,0.0,13.58993566,122.58,1s-40,,,E1,NIST,,912.32366,H I,"H I$\,\lambda912$",0,0.0
Ly39,H I,912.353,0.0,13.58949423,139.13,1s-39,,,E1,NIST,,912.353295,H I,"H I$\,\lambda912$",0,0.0
Ly38,H I,912.385,0.0,13.5890175,158.43,1s-38,,,E1,NIST,,912.385303,H I,"H I$\,\lambda912$",0,0.0
Ly37,H I,912.42,0.0,13.58850159,181.03,1s-37,,,E1,NIST,,912.419943,H I,"H I$\,\lambda912$",0,0.0
Ly36,H I,912.458,0.0,13.58794208,207.62,1s-36,,,E1,NIST,,912.457513,H I,"H I$\,\lambda912$",0,0.0
Ly35,H I,912.498,0.0,13.58733395,239.03,1s-35,,,E1,NIST,,912.498352,H I,"H I$\,\lambda912$",0,0.0
Ly34,H I,912.543,0.0,13.58667137,276.31,1s-34,,,E1,NIST,,912.542852,H I,"H I$\,\lambda913$",0,0.0
Ly33,H I,912.591,0.0,13.58594765,320.81,1s-33,,,E1,NIST,,912.591463,H I,"H I$\,\lambda913$",0,0.0
Ly32,H I,912.645,0.0,13.58515502,374.18,1s-32,,,E1,NIST,,912.644709,H I,"H I$\,\lambda913$",0,0.0
Ly31,H I,912.703,0.0,13.58428445,438.57,1s-31,,,E1,NIST,,912.703197,H I,"H I$\,\lambda913$",0,0.0
Ly30,H I,912.768,0.0,13.58332538,516.73,1s-30,,,E1,NIST,,912.767639,H I,"H I$\,\lambda913$",0,0.0
Ly29,H I,912.839,0.0,13.58226541,612.21,1s-29,,,E1,NIST,,912.838873,H I,"H I$\,\lambda913$",0,0.0
