Line,Vacuum Wavelength (Å),Line Flux (10^-15 erg s^-1 cm^-2)
Cr II 194,4004.46,0.69
Ni II 12,4016.64,0.2
Fe II 126,4034.09,0.67
Ti II 87,4054.96,0.73
Cr II 19,4065.09,0.75
[S II] 1F,4069.77,1.55
[S II] 1F,4077.37,0.36
Hdelta,4102.89,3.28
[Fe II] 23F,4115.63,1.97
Fe II 28,4123.8,1.19
Fe II 27,4129.89,2.32
[Fe II] 21F,4147.82,0.78
Ti II 105,4164.81,0.21
Fe II] 149,4168.86,0.69
Fe II 27,4174.63,2.37
Fe II] 21,4178.88,3.16
Fe II 28,4180.04,0.2
Fe II] 21,4184.38,1.28
Fe II],4192.14,0.37
Fe II],4205.66,0.62
Fe II] 45,4228.36,0.78
Fe II 27,4234.36,4.49
Fe II],4238.76,0.61
[Fe II] 21F,4245.17,0.82
[Fe II] 21F,4246.01,1.26
Fe II 220,4260.52,0.91
[Fe II] 7F,4288.6,0.41
Fe II 28,4297.78,1.7
Fe II 27,4304.38,2.0
Fe II 32,4315.5,0.55
[Fe II] 21F,4320.83,0.43
Fe II] 20,4328.26,1.36
Hgamma,4341.62,5.74
[Fe II] 21F,4348.07,1.64
[Fe II] 21F,4354.0,4.01
[Fe II] 21F,4359.58,0.61
Fe II] 202,4360.35,1.23
[Fe II] 7F,4360.57,0.08
[O III],4364.44,1.18
[Fe II] 21F,4373.66,2.1
[Fe II] 6F,4383.97,0.89
Fe II 27,4386.61,2.9
Ti II 19,4396.26,0.61
[Fe II] 7F,4415.02,1.07
[Fe II] 6F,4417.51,2.9
Ti II 93,4423.19,0.76
[Fe II] 6F,4433.69,0.85
Ti II 19,4445.05,1.31
Ti II 19,4451.74,1.22
[Fe II] 7F,4476.16,0.28
[Fe II] 6F,4490.01,2.89
[Fe II] 6F,4493.89,1.79
Fe II 38,4509.54,2.2
Fe II 37,4516.61,3.56
Fe II 37,4521.49,2.37
Fe II 38,4523.9,3.67
[Fe II] 6F,4529.65,1.08
Fe II 37,4535.44,2.89
Fe II 38,4542.79,2.65
Fe II 38,4550.75,4.2
Fe II 37,4557.17,3.44
Fe II 38,4585.11,4.08
Cr II 44,4617.93,1.71
Fe II 38,4621.8,1.82
Fe II 37,4630.64,5.82
Fe II 25,4635.9,2.43
[Fe II] 4F,4640.97,0.11
N II 5,4644.39,1.92
[Fe II] 4F,4665.75,0.02
Fe II 25,4671.48,1.89
Cr II,4698.91,0.4
Fe II,4703.86,0.88
Fe II] 43,4732.76,1.54
[Fe II] 20F,4776.06,0.02
Fe II],4803.95,0.36
[Fe II] 20F,4815.88,0.98
Cr II 30,4825.48,2.23
Hbeta,4862.66,14.26
Cr II 30,4877.84,1.88
[Fe II] 4F,4890.99,1.46
[Fe II],4899.98,1.19
[Fe II] 20F,4906.71,0.6
Ti II 114,4912.57,1.02
Fe II 42,4925.29,6.79
Fe II],4929.69,0.33
N I 9,4936.41,0.67
Fe II 36,4948.71,0.87
[O III],4960.28,3.94
[Fe II] 20F,4974.78,0.36
Fe II 36,4994.74,2.7
[Fe II] 20F,5006.91,0.38
[O III],5008.2,11.85
Fe II 42,5019.84,5.38
[Fe II] 20F,5021.63,0.63
[Fe II] 20F,5044.93,0.87
[Fe II],5061.49,0.25
Ti II 113,5073.69,0.9
Fe II,5103.22,0.54
[Fe II] 18F,5109.36,0.27
[Fe II] 18F,5159.44,0.87
Fe II 42,5170.47,5.03
[Fe II] 18F,5183.39,0.5
[Fe II] 19F,5186.24,0.22
Fe II 49,5199.02,0.42
[N I],5201.71,0.89
[Fe II] 19F,5221.51,0.24
Fe II 49,5236.08,3.07
[Fe II] 19F,5263.08,0.67
Fe II 48,5266.27,0.35
[Fe II] 18F,5274.82,2.05
Fe II 49,5277.46,3.07
Fe II 41,5285.55,1.48
[Fe II] 19F,5298.3,0.43
Fe II 49,5318.09,4.11
[Fe II] 19F,5335.13,1.13
Fe II 48,5364.35,2.13
[Fe II] 19F,5377.95,0.03
Fe II,5380.53,0.83
Fe II 49,5426.78,0.91
[Fe II] 34F,5478.76,0.07
Fe II] 55,5536.37,0.96
Fe II],5542.02,0.46
Fe II],5575.53,0.13
