--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
--------------------------------------------------------------------------------------------------------------------------    
   203.4574    203.3920  -4.169 1.560e+04  22.00 Ti I        0.000000   2.0 s2 a3F         6.093864   3.0 s2F)5p 3D  K    
   203.6683    203.6028  -3.065 2.769e+05  22.00 Ti I        0.000000   2.0 s2 a3F         6.087556   2.0 s2F)5p 3D  K    
   203.7477    203.6822  -3.270 2.876e+05  22.00 Ti I        0.000000   2.0 s2 a3F         6.085183   1.0 s2F)5p 3D  K    
   204.1641    204.0986  -2.719 4.366e+05  22.00 Ti I        0.021094   3.0 s2 a3F         6.093864   3.0 s2F)5p 3D  K    
   204.3765    204.3109  -2.589 8.228e+05  22.00 Ti I        0.021094   3.0 s2 a3F         6.087556   2.0 s2F)5p 3D  K    
   205.0716    205.0059  -1.998 2.276e+06  22.00 Ti I        0.047966   4.0 s2 a3F         6.093864   3.0 s2F)5p 3D  K    
   206.0059    205.9400  -4.474 7.538e+03  22.00 Ti I        0.000000   2.0 s2 a3F         6.018479   3.0 s2F)5p 3G  K    
   206.1252    206.0593  -4.230 1.027e+04  22.00 Ti I        0.021094   3.0 s2 a3F         6.036089   4.0 s2F)5p 3G  K    
   206.2366    206.1707  -3.647 3.214e+04  22.00 Ti I        0.047966   4.0 s2 a3F         6.059710   5.0 s2F)5p 3G  K    
   206.3533    206.2873  -3.348 1.406e+05  22.00 Ti I        0.000000   2.0 s2 a3F         6.008346   2.0 s2F)5p 3F  K    
   206.3579    206.2919  -3.821 3.379e+04  22.00 Ti I        0.021094   3.0 s2 a3F         6.029307   3.0 s2F)5p 3F  K    
   206.6650    206.5990  -3.315 8.401e+04  22.00 Ti I        0.047966   4.0 s2 a3F         6.047250   4.0 s2F)5p 3F  K    
   206.7304    206.6644  -3.405 8.774e+04  22.00 Ti I        0.021094   3.0 s2 a3F         6.018479   3.0 s2F)5p 3G  K    
   207.0502    206.9841  -2.924 2.059e+05  22.00 Ti I        0.047966   4.0 s2 a3F         6.036089   4.0 s2F)5p 3G  K    
   207.0803    207.0142  -3.760 5.406e+04  22.00 Ti I        0.021094   3.0 s2 a3F         6.008346   2.0 s2F)5p 3F  K    
   207.2849    207.2188  -4.032 2.060e+04  22.00 Ti I        0.047966   4.0 s2 a3F         6.029307   3.0 s2F)5p 3F  K    
   207.6609    207.5947  -2.797 3.526e+05  22.00 Ti I        0.047966   4.0 s2 a3F         6.018479   3.0 s2F)5p 3G  K    
   211.4478    211.3809  -1.921 1.988e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.884678   4.0 (2F)4p p3F K    
   211.4974    211.4305  -2.039 1.947e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.862207   3.0 (2F)4p p3F K    
   211.9205    211.8535  -1.587 7.688e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.850506   2.0 (2F)4p p3F K    
   212.2613    212.1942  -2.342 9.622e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.862207   3.0 (2F)4p p3F K    
   212.4213    212.3542  -2.020 1.569e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.884678   4.0 (2F)4p p3F K    
   212.6873    212.6201  -2.262 1.613e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.850506   2.0 (2F)4p p3F K    
   213.2423    213.1750  -3.537 6.085e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.862207   3.0 (2F)4p p3F K    
   214.0164    213.9489  -2.201 1.310e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.793211   3.0 (2F)4p s3G K    
   214.2803    214.2128  -2.493 5.187e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.807170   4.0 (2F)4p s3G K    
   214.4291    214.3616  -1.621 3.156e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.830027   5.0 (2F)4p s3G K    
   214.7985    214.7309  -1.461 7.144e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.793211   3.0 (2F)4p s3G K    
   215.2801    215.2124  -1.113 1.233e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.807170   4.0 (2F)4p s3G K    
   215.7011    215.6333  -3.008 4.691e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.747962   1.0 (2P)4p 1P  K    
   215.8032    215.7354  -1.662 4.456e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.793211   3.0 (2F)4p s3G K    
   216.9790    216.9109  -2.522 4.732e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.735205   4.0 s2F)5p u1G K    
   218.0042    217.9359  -2.481 5.152e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.735205   4.0 s2F)5p u1G K    
   221.2072    221.1383  -2.973 2.072e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.604890   3.0 (4F)5p n3D K    
   221.3469    221.2779  -4.666 5.875e+03  22.00 Ti I        0.000000   2.0 s2 a3F         5.601354   2.0 t3P        K    
   221.7762    221.7071  -3.893 5.783e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.590510   1.0 t3P        K    
   221.9069    221.8378  -1.530 7.995e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.587216   2.0 (4F)5p n3D K    
   222.0428    221.9737  -1.718 3.700e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.604890   3.0 (4F)5p n3D K    
   222.1835    222.1144  -4.351 1.204e+04  22.00 Ti I        0.021094   3.0 s2 a3F         5.601354   2.0 t3P        K    
   222.2139    222.1448  -1.324 9.151e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.579497   3.0 (4F)5p 3G  K    
   222.3877    222.3185  -1.039 4.109e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.575138   1.0 (4F)5p n3D K    
   222.5804    222.5112  -1.411 5.806e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.591404   4.0 (4F)5p 3G  K    
   222.6032    222.5340  -1.998 1.932e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.569739   3.0 (4F)5p q3F K    
   222.7479    222.6786  -0.980 2.815e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.587216   2.0 (4F)5p n3D K    
   222.8620    222.7927  -1.525 4.455e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.584367   4.0 (4F)5p q3F K    
   223.0418    222.9725  -1.300 1.344e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.558787   2.0 (4F)5p q3F K    
   223.0572    222.9879  -1.726 3.599e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.579497   3.0 (4F)5p 3G  K    
   223.0911    223.0218  -1.100 9.678e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.605524   5.0 (4F)5p 3G  K    
   223.1166    223.0473  -0.782 3.162e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.604890   3.0 (4F)5p n3D K    
   223.4495    223.3801  -1.207 1.185e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.569739   3.0 (4F)5p q3F K    
   223.6595    223.5900  -1.348 6.648e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.591404   4.0 (4F)5p 3G  K    
   223.8914    223.8219  -1.438 9.707e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.558787   2.0 (4F)5p q3F K    
   223.9437    223.8742  -1.034 1.366e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.584367   4.0 (4F)5p q3F K    
   224.1409    224.0713  -1.822 2.857e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.579497   3.0 (4F)5p 3G  K    
   224.5369    224.4673  -1.778 3.151e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.569739   3.0 (4F)5p q3F K    
   225.1871    225.1173  -4.038 1.339e+04  22.00 Ti I        0.021094   3.0 s2 a3F         5.526926   4.0 (4F)5p 5D  K    
   225.2794    225.2096  -3.134 1.931e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.503574   2.0 (4F)5p 5D  K    
   225.5733    225.5034  -2.629 1.027e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.496404   1.0 (4F)5p 5D  K    
   225.7173    225.6474  -3.228 1.106e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.513992   3.0 (4F)5p 5D  K    
   225.8140    225.7441  -3.453 6.585e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.490544   3.0 (4F)5p 5F  K    
