Title: Predicted Fe II Emission-Line Strengths from Active Galactic Nuclei 
Authors: Sigut T.A.A., Pradhan A.K. 2003
Table: Fe II fluxes for model A with Ly{alpha} and Ly{beta} pumping
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm   Wave   Wavelength in Angstroms
  11- 24 A14    ---     ULev   Upper level
  26- 39 A14    ---     LLev   Lower level
  41- 46 F6.3   eV      El     Energy of the LLev 
  48- 52 I5     mW/m2   Flux   Predicted flux in units of erg/cm^2^/s
--------------------------------------------------------------------------------
  927.174 u^6^D^o^_7/2_  a^6^D^e^_7/2_   0.048   989 
 1133.674 u^4^D^o^_5/2_  a^4^F^e^_7/2_   0.301  5590 
 1135.578 u^4^P^o^_3/2_  a^4^F^e^_5/2_   0.352   518 
 1138.940 u^4^D^o^_5/2_  a^4^F^e^_5/2_   0.352  2430 
 1144.049 u^6^D^o^_7/2_  b^4^P^e^_5/2_   2.582  2280 
 1159.503 u^4^G^o^_9/2_  a^4^H^e^_11/2_  2.656   604 
 1170.562 u^6^D^o^_7/2_  b^4^F^e^_7/2_   2.827  1150 
 1175.957 u^4^G^o^_9/2_  b^4^F^e^_9/2_   2.805  2890 
 1199.670 w^4^H^o^_9/2_  a^4^H^e^_9/2_   2.675   569 
 1209.430 u^4^D^o^_5/2_  a^4^D^e^_7/2_   0.986  4180 
 1211.986 v^4^P^o^_5/2_  a^4^D^e^_5/2_   1.040   810 
 1213.090 u^6^D^o^_7/2_  a^4^G^e^_9/2_   3.198   928 
 1263.702 w^4^H^o^_9/2_  a^4^G^e^_9/2_   3.198   834 
 1265.071 w^4^H^o^_7/2_  a^4^G^e^_7/2_   3.220   641 
 1265.638 w^4^H^o^_11/2_ a^4^G^e^_9/2_   3.198   638 
 1266.254 w^4^H^o^_7/2_  a^4^G^e^_5/2_   3.229  1180 
 1266.525 w^4^H^o^_9/2_  a^4^G^e^_7/2_   3.220  1550 
 1274.469 w^4^H^o^_11/2_ b^2^H^e^_9/2_   3.266   503 
 1286.430 v^4^F^o^_3/2_  a^4^P^e^_5/2_   1.670   792 
 1288.724 v^4^F^o^_5/2_  a^4^P^e^_5/2_   1.670   528 
 1289.094 u^4^D^o^_3/2_  a^4^P^e^_5/2_   1.670  1130 
 1291.544 v^4^P^o^_5/2_  a^4^P^e^_5/2_   1.670   684 
 1291.583 u^4^P^o^_3/2_  a^4^P^e^_5/2_   1.670  1070 
 1292.405 u^4^D^o^_3/2_  a^4^P^e^_3/2_   1.695   922 
 1293.592 v^4^F^o^_3/2_  a^4^P^e^_1/2_   1.723  1160 
 1293.746 u^4^D^o^_1/2_  a^4^P^e^_1/2_   1.723   526 
 1294.906 u^4^P^o^_3/2_  a^4^P^e^_3/2_   1.695  1120 
 1296.085 y^4^S^o^_3/2_  a^4^P^e^_5/2_   1.670   690 
 1296.286 u^4^D^o^_3/2_  a^4^P^e^_1/2_   1.723  1250 
 1298.802 u^4^P^o^_3/2_  a^4^P^e^_1/2_   1.723   590 
 1299.280 u^4^D^o^_5/2_  a^4^P^e^_3/2_   1.695  1210 
 1299.432 y^4^S^o^_3/2_  a^4^P^e^_3/2_   1.695   511 
 1299.994 u^4^D^o^_7/2_  a^4^P^e^_5/2_   1.670   727 
 1301.212 u^6^D^o^_7/2_  b^4^D^e^_5/2_   3.890   536 
 1308.968 X^2^I^o^_11/2_ a^2^I^e^_13/2_  4.074   576 
 1309.555 X^2^I^o^_11/2_ a^2^I^e^_11/2_  4.079   738 
 1310.589 t^2^H^o^_11/2_ b^2^G^e^_9/2_   3.766   731 
 1311.062 X^2^I^o^_13/2_ a^2^I^e^_13/2_  4.074   730 
 1311.615 t^2^H^o^_9/2_  b^2^G^e^_7/2_   3.813   548 
 1312.490 u^4^G^o^_9/2_  b^4^D^e^_7/2_   3.902  1330 
 1332.731 v^6^F^o^_3/2_  b^4^D^e^_3/2_   3.887   642 
 1352.735 r^4^F^o^_9/2_  b^4^D^e^_7/2_   3.902  1200 
 1354.748 t^2^H^o^_11/2_ a^2^I^e^_13/2_  4.074   639 
 1364.434 s^2^D^o^_3/2_  b^2^P^e^_1/2_   3.338   596 
 1378.437 r^2^F^o^_7/2_  b^2^H^e^_9/2_   3.266   505 
 1379.713 u^4^P^o^_1/2_  a^2^P^e^_3/2_   2.275   546 
 1384.671 w^6^D^o^_1/2_  b^4^P^e^_3/2_   2.703   518 
 1409.260 r^2^F^o^_5/2_  a^2^F^e^_5/2_   3.423  2580 
 1423.690 v^4^F^o^_5/2_  b^4^P^e^_5/2_   2.582   784 
 1427.133 v^4^P^o^_5/2_  b^4^P^e^_5/2_   2.582   968 
 1437.457 u^4^D^o^_7/2_  b^4^P^e^_5/2_   2.582  1630 
 1440.987 v^4^F^o^_3/2_  b^4^P^e^_3/2_   2.703   513 
 1443.738 t^2^G^o^_9/2_  b^2^G^e^_9/2_   3.766   535 
 1452.922 u^4^D^o^_5/2_  b^4^P^e^_3/2_   2.703  1560 
 1453.703 u^4^D^o^_1/2_  b^4^P^e^_1/2_   2.777   516 
 1460.090 u^4^P^o^_3/2_  b^4^P^e^_1/2_   2.777   626 
 1464.782 v^4^F^o^_3/2_  b^4^F^e^_5/2_   2.843  1570 
 1464.982 v^4^F^o^_5/2_  b^4^F^e^_7/2_   2.827  1900 
 1466.956 u^4^D^o^_1/2_  b^4^F^e^_3/2_   2.854   548 
 1467.492 v^4^F^o^_7/2_  b^4^F^e^_9/2_   2.805  1640 
 1474.306 u^4^D^o^_5/2_  b^4^F^e^_7/2_   2.827   826 
 1474.597 r^2^F^o^_5/2_  b^2^G^e^_7/2_   3.813  7960 
 1475.782 u^4^D^o^_7/2_  b^4^F^e^_9/2_   2.805  1330 
 1490.606 r^2^F^o^_7/2_  b^2^F^e^_5/2_   3.943   580 
 1494.777 r^2^F^o^_7/2_  b^2^F^e^_7/2_   3.966   584 
 1497.728 r^2^F^o^_5/2_  b^2^F^e^_5/2_   3.943   994 
 1508.223 u^4^F^o^_3/2_  a^4^G^e^_5/2_   3.229   573 
 1534.838 v^4^F^o^_3/2_  a^4^G^e^_5/2_   3.229  2590 
 1536.359 v^4^F^o^_5/2_  a^4^G^e^_7/2_   3.220  2960 
 1538.105 v^4^F^o^_5/2_  a^4^G^e^_5/2_   3.229   773 
 1538.632 u^4^D^o^_3/2_  a^4^G^e^_5/2_   3.229  1770 
 1539.045 v^4^F^o^_7/2_  a^4^G^e^_9/2_   3.198  4110 
 1539.461 v^4^F^o^_9/2_  a^4^G^e^_11/2_  3.151  3120 
 1540.369 v^4^P^o^_5/2_  a^4^G^e^_7/2_   3.220  1280 
 1543.234 v^4^F^o^_7/2_  a^4^G^e^_7/2_   3.220  1170 
 1547.064 X^6^F^o^_9/2_  a^4^G^e^_11/2_  3.151  1420 
 1550.499 X^6^F^o^_7/2_  a^4^G^e^_9/2_   3.198   537 
 1574.497 t^4^P^o^_1/2_  b^4^D^e^_1/2_   3.888   530 
 1577.916 t^4^P^o^_3/2_  b^4^D^e^_3/2_   3.887   624 
 1578.493 v^2^D^o^_5/2_  a^2^D^e^_5/2_   2.543   519 
 1613.942 t^4^F^o^_3/2_  b^4^D^e^_1/2_   3.888   640 
 1633.593 u^2^G^o^_7/2_  b^4^D^e^_5/2_   3.890   529 
 1639.500 u^4^F^o^_3/2_  b^4^D^e^_3/2_   3.887   748 
 1639.606 u^4^F^o^_3/2_  b^4^D^e^_1/2_   3.888  1120 
 1640.273 u^4^F^o^_5/2_  b^4^D^e^_3/2_   3.887   778 
 1641.775 u^4^P^o^_5/2_  b^4^D^e^_3/2_   3.887   712 
 1642.183 u^4^F^o^_7/2_  b^4^D^e^_5/2_   3.890   564 
 1671.108 v^4^F^o^_3/2_  b^4^D^e^_1/2_   3.888   831 
