no,transition,wave_air,wave_vac,Ei,Ek,gi-gk,Aki,fik,S,loggf,Acc,source
1,1-2,,1 215.67,0.000,82 259.163,2-8,4.6986e+00,4.1641e-01,3.3331e+00,-0.079 45,AAA,4
2,1-3,,1 025.72,0.000,97 492.283,2-18,5.5751e-01,7.9142e-02,5.3450e-01,-0.800 56,ААА,4
3,1-4,,972.537,0.000,102 823.879,2-32,1.2785e-01,2.9006e-02,1.8574e-01,-1.236 48,AAA,4
4,1-5,,949.743,0.000,105 291.644,2-50,4.1250e-02,1.3945e-02,8.7206e-02,-1.554 54,AAA,4
5,1-6,,937.803,0.000,106 632.158,2-72,1.6440e-02,7.8035e-03,4.8184e-02,-1.806 68,AAA,4
6,1-7,,930.748,0.000,107 440.444,2-98,7.5684e-03,4.8164e-03,2.9516e-02,-2.016 25,ААА,4
7,1-8,,926.223,0.000,107 965.321,2-128,3.8694e-03,3.1850e-03,1.9424e-02,-2.195 86,ААА,4
8,1-9,,923.148,0.000,108 324.992,2-162,2.1425e-03,2.2172e-03,1.3477e-02,-2.353 16,ААА,4
9,1-10,,920.961,0.000,108 582.262,2-200,1.2631e-03,1.6062e-03,9.7396e-03,-2.493 18,AAA,4
10,1-11,,919.349,0.000,108 772.613,2-242,7.8340e-04,1.2011e-03,7.2707e-03,-2.619 38,AAA,4
11,1-12,,918.127,0.000,108 917.391,2-288,5.0659e-04,9.2190e-04,5.5730e-03,-2.734 29,AAA,4
12,1-13,,917.178,0.000,109 030.061,2-338,3.3927e-04,7.2310e-04,4.3668e-03,-2.839 77,ААА,4
13,1-14,,916.427,0.000,109 119.462,2-392,2.3409e-04,5.7769e-04,3.4858e-03,-2.937 27,AAA,4
14,1-15,,915.821,0.000,109 191.586,2-450,1.6572e-04,4.6886e-04,2.8272e-03,-3.027 93,AAA,4
