key,ion,wave_vac
[OIII]-5008,[O III],5008.24
[OIII]-4960,[O III],4960.295
[OII]-3727,[O II],3727.092
[NeIII]-3870,[Ne III],3869.86
HeI-4027,He I,4027.324
HeI-4714,He I,4714.458
[FeII]-3377,[Fe II],3377.169
[FeII]-3627,[Fe II],3626.807
[FeII]-3255,[Fe II],3255.177
[FeII]-3319,[Fe II],3319.342
[FeII]-3442,[Fe II],3441.978
[FeII]-3503,[Fe II],3502.627
HeI-3706,He I,3706.05
[FeII]-3278,[Fe II],3278.061
[FeII]-3540,[Fe II],3539.702
[FeII]-3537,[Fe II],3537.257
H15,H I,3713.033
[OII]-3730,[O II],3729.875
H13,H I,3735.436
H12,H I,3751.224
H11,H I,3771.708
H10,H I,3798.983
HeI-3821,He I,3820.687
H9,H I,3836.479
CaII-3935,Ca II,3934.777
HeI-3966,He I,3965.851
[NeIII]-3969,[Ne III],3968.59
H7,H I,3971.202
CaII-3970,Ca II,3969.591
H8,H I,3890.158
[SII]-4070,[S II],4069.746
[SII]-4077,[S II],4077.494
Hd,H I,4102.899
[FeII]-4180,[Fe II],4180.142
[FeII]-4178,[Fe II],4178.379
HeI-4145,He I,4144.928
[FeII]-4114,[Fe II],4113.594
[FeII]-4116,[Fe II],4115.636
[FeII]-4246,[Fe II],4245.55
[FeII]-4245,[Fe II],4245.169
[FeII]-4278,[Fe II],4278.04
[FeII]-4289,[Fe II],4288.6
[FeII]-4307,[Fe II],4307.109
[FeII]-4323,[Fe II],4323.138
[FeII]-4321,[Fe II],4320.837
[FeII]-4331,[Fe II],4330.646
Hg,H I,4341.691
[OIII]-4364,[O III],4364.436
[FeII]-4357,[Fe II],4357.374
[FeII]-4348,[Fe II],4348.081
[FeII]-4353,[Fe II],4353.031
[FeII]-4354,[Fe II],4354.008
[FeII]-4361,[Fe II],4360.557
[FeII]-4360,[Fe II],4359.592
[FeII]-4374,[Fe II],4373.658
[FeII]-4384,[Fe II],4383.976
HeI-4389,He I,4389.162
[FeII]-4415,[Fe II],4415.02
[FeII]-4418,[Fe II],4417.508
[FeII]-4453,[Fe II],4453.347
[FeII]-4459,[Fe II],4459.198
HeI-4473,He I,4472.729
[FeII]-4476,[Fe II],4476.158
[FeII]-4434,[Fe II],4433.692
[FeII]-4472,[Fe II],4471.552
[FeII]-4641,[Fe II],4640.973
[FeIII]-4659,[Fe III],4659.42
[FeII]-4666,[Fe II],4665.753
HeII-4687,He II,4687.116
